MDDv1.8_Name,MDDv1.9_Name,Comment,Category,Reference
Microtus_lydius,Microtus_hartingi,lumped back into Microtus hartingi,lump,"Zorenko, T. A., & Kagainis, U. E. (2021). Discrimination of the two subspecies of Microtus hartingi (Rodentia: Arvicolinae) by shape and linear features of the spermatozoon.; Thanou, E., Paragamian, K., & Lymberakis, P. (2020). Social but lonely: Species delimitation of social voles and the evolutionary history of the only Microtus species living in Africa. Journal of Zoological Systematics and Evolutionary Research, 58(1), 475-498."
Microtus_qazvinensis,Microtus_dogramacii,lumped back into Microtus dogramacii,lump,"Thanou, E., Paragamian, K., & Lymberakis, P. (2020). Social but lonely: Species delimitation of social voles and the evolutionary history of the only Microtus species living in Africa. Journal of Zoological Systematics and Evolutionary Research, 58(1), 475-498."
Abrothrix_xanthorhina,Abrothrix_olivacea,lumped into Abrothrix olivacea based on molecular and morphometric data,lump,"Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.|Giorello, F. M., D’Elía, G., & Lessa, E. P. (2021). Genomic footprints of Quaternary colonization and population expansion in the Patagonian‐Fuegian region rules out a separate southern refugium in Tierra del Fuego. Journal of Biogeography, 48(10), 2656-2670.|Sánchez, J., Poljak, S., Teta, P., Lanusse, L., & Lizarralde, M. S. (2022). A contribution to the knowledge of the taxonomy of the subgenus Abrothrix (Angelomys)(Rodentia, Cricetidae) in southernmost South America. Polar Biology, 1-14.|Quiroga-Carmona, M., Abud, C., Lessa, E. P., & D’Elía, G. (2022). The Mitochondrial Genetic Diversity of the Olive Field Mouse Abrothrix olivacea (Cricetidae; Abrotrichini) is Latitudinally Structured Across Its Geographic Distribution. Journal of Mammalian Evolution, 1-18."
Mogera_insularis,Mogera_hainana,split from Mogera insularis,split,"Tu, F., Zhai, X., Zhao, W., & Wang, J. (2021). New Mitogenome of the Hainan Mole Mogera hainana and Taxonomic Implications Based on Molecular Data. Mammal Study, 47(1), 1-7."
Myotis_badius,Myotis_alticraniatus,lumped into Myotis alticraniatus based on low molecular divergence,lump,"Ruedi, M., Saikia, U., Thabah, A., Görföl, T., Thapa, S., & Csorba, G. (2021). Molecular and morphological revision of small Myotinae from the Himalayas shed new light on the poorly known genus Submyotodon (Chiroptera: Vespertilionidae). Mammalian Biology, 101(4), 465-480.|Csorba, G., & Furey, N. M. (2022). From greener times: a new species of Thick-thumbed Myotis from Phnom Penh, Cambodia. Acta Zoologica Academiae Scientiarum Hungaricae, 68(1), 85-97."
Myotis_csorbai,Myotis_longipes,lumped into Myotis longipes based on low molecular divergence,lump,"Ruedi, M., Saikia, U., Thabah, A., Görföl, T., Thapa, S., & Csorba, G. (2021). Molecular and morphological revision of small Myotinae from the Himalayas shed new light on the poorly known genus Submyotodon (Chiroptera: Vespertilionidae). Mammalian Biology, 101(4), 465-480.|Csorba, G., & Furey, N. M. (2022). From greener times: a new species of Thick-thumbed Myotis from Phnom Penh, Cambodia. Acta Zoologica Academiae Scientiarum Hungaricae, 68(1), 85-97."
Myotis_annamiticus,Myotis_laniger,lumped into Myotis laniger based on low molecular divergence,lump,"Ruedi, M., Saikia, U., Thabah, A., Görföl, T., Thapa, S., & Csorba, G. (2021). Molecular and morphological revision of small Myotinae from the Himalayas shed new light on the poorly known genus Submyotodon (Chiroptera: Vespertilionidae). Mammalian Biology, 101(4), 465-480.|Csorba, G., & Furey, N. M. (2022). From greener times: a new species of Thick-thumbed Myotis from Phnom Penh, Cambodia. Acta Zoologica Academiae Scientiarum Hungaricae, 68(1), 85-97."
NA,Myotis_hayesi,recently described,de novo,"Csorba, G., & Furey, N. M. (2022). From greener times: a new species of Thick-thumbed Myotis from Phnom Penh, Cambodia. Acta Zoologica Academiae Scientiarum Hungaricae, 68(1), 85-97."
NA,Mus_harennensis,recently described,de novo,"Krásová, J., Mikula, O., Lavrenchenko, L. A., Šumbera, R., Meheretu, Y., & Bryja, J. (2022). A new rodent species of the genus Mus (Rodentia: Muridae) confirms the biogeographical uniqueness of the isolated forests of southern Ethiopia. Organisms Diversity & Evolution, 1-19."
Brachylagus_idahoensis,Sylvilagus_idahoensis,moved from Brachylagus to Sylvilagus based on molecular data,name change,"Cano-Sánchez, E., Rodriguez-Gomez, F., Ruedas, L. A., Oyama, K., Leon-Paniagua, L., Mastretta-Yanes, A., & Velazquez, A. (2022). Using Ultraconserved Elements to Unravel Lagomorph Phylogenetic Relationships. Journal of Mammalian Evolution, 1-17."
NA,Mindomys_kutuku,recently described,de novo,"Brito, J., Koch, C., Tinoco, N., & Pardiñas, U. F. (2022).  A new species of Mindomys (Rodentia, Cricetidae) with remarks on external traits as indicators of arboreality in sigmodontine rodents. Evolutionary Systematics, 6, 35-55."
Naemorhedus_goral,Naemorhedus_griseus,"split back out from Naemorhedus goral based on the most recent molecular study, but goral taxonomy is a bit chaotic at this point",split,"Joshi, B. D., Singh, V. K., Singh, H., Bhattacharjee, S., Singh, A., Singh, S. K., ... & Thakur, M. (2022). Revisiting taxonomic disparities in the genus Naemorhedus: new insights from Indian Himalayan Region. Mammalia."
Lepus_insularis,Lepus_californicus,lumped into Lepus californicus,lump,"Álvarez-Castañeda, S. T., & Lorenzo, C. (2017). Phylogeography and phylogeny of Lepus californicus (Lagomorpha: Leporidae) from Baja California Peninsula and adjacent islands. Biological Journal of the Linnean Society, 121(1), 15-27."
Marmosa_alstoni,Marmosa_alstoni,range extension to Panama,range extension,"Carter, Paul. (2022). Alston's Woolly Mouse Opossum, Marmosa alstoni (Didelphimorphia, Didelphidae), in Boquete, Panama. Zenodo. https://doi.org/10.5281/zenodo.6374907"
Otospermophilus_beecheyi,Otospermophilus_douglasii,split from Otospermophilus beecheyi,split,"Phuong, M. A., Lim, M. C., Wait, D. R., Rowe, K. C., & Moritz, C. (2014). Delimiting species in the genus Otospermophilus (Rodentia: Sciuridae), using genetics, ecology, and morphology. Biological Journal of the Linnean Society, 113(4), 1136-1151.|Phuong, M. A., Bi, K., & Moritz, C. (2017). Range instability leads to cytonuclear discordance in a morphologically cryptic ground squirrel species complex. Molecular ecology, 26(18), 4743-4755."
Peromyscus_interparietalis,Peromyscus_eremicus,lumped into Peromyscus interparietalis,lump,"Cornejo-Latorre, C., Cortés-Calva, P., & Álvarez-Castañeda, S. T. (2017). The evolutionary history of the subgenus Haplomylomys (Cricetidae: Peromyscus). Journal of Mammalogy, 98(6), 1627-1640."
Peromyscus_pseudocrinitus,Peromyscus_fraterculus,lumped into Peromyscus fraterculus,lump,"Cornejo-Latorre, C., Cortés-Calva, P., & Álvarez-Castañeda, S. T. (2017). The evolutionary history of the subgenus Haplomylomys (Cricetidae: Peromyscus). Journal of Mammalogy, 98(6), 1627-1640."
Peromyscus_difficilis,Peromyscus_amplus,split from Peromyscus difficilis,split,"Hernández-Canchola, G., León-Paniagua, L., & Esselstyn, J. A. (2022). Mitochondrial DNA and other lines of evidence clarify species diversity in the Peromyscus truei species group (Cricetidae: Neotominae). Mammalia."
Peromyscus_difficilis,Peromyscus_felipensis,split from Peromyscus difficilis,split,"Hernández-Canchola, G., León-Paniagua, L., & Esselstyn, J. A. (2022). Mitochondrial DNA and other lines of evidence clarify species diversity in the Peromyscus truei species group (Cricetidae: Neotominae). Mammalia."
Peromyscus_pectoralis,Peromyscus_collinus,split from Peromyscus pectoralis,split,"Hernández-Canchola, G., León-Paniagua, L., & Esselstyn, J. A. (2022). Mitochondrial DNA and other lines of evidence clarify species diversity in the Peromyscus truei species group (Cricetidae: Neotominae). Mammalia."
NA,Phyllotis_camiari,recently described,de novo,"Teta, P., Jayat, J. P., Steppan, S. J., Ojeda, A. A., Ortiz, P. E., Novillo, A., ... & Ojeda, R. A. (2022). Uncovering cryptic diversity does not end: a new species of leaf-eared mouse, genus Phyllotis (Rodentia, Cricetidae), from Central Sierras of Argentina. Mammalia."
NA,Eospalax_muliensis,recently described,de novo,"Zhang, T., Lei, M. L., Zhou, H., Chen, Z. Z., & Shi, P. (2022). Phylogenetic relationships of the zokor genus Eospalax (Mammalia, Rodentia, Spalacidae) inferred from whole-genome analyses, with description of a new species endemic to Hengduan Mountains. Zoological Research, 43(3), 331-342."
Nycticebus_pygmaeus,Xanthonycticebus_pygmaeus,moved from Nycticebus to Xanthonycticebus,name change,"Nekaris, K. A.-I. & Nijman, V. (2022). A new genus name for pygmy lorises, Xanthonycticebus gen. nov. (Mammalia, Primates). Zoosystematics and Evolution, 98(1), 87-92."
NA,Hypsugo_stubbei,recently described,de novo,"Dolch, D., Batsaikhan, N., Stubbe, A., & Steinhauser, D. (2021). Hypsugo stubbei sp. nov., a novel cryptic bat species of the genus Hypsugo (Vespertilionidae, Chiroptera, Mammalia) from Mongolia. Ergebnisse der Mongolisch-Deutschen Biologischen Expeditionen, 14, 187-206."
NA,Plecotus_gobiensis,recently described,de novo,"Dolch, D., Stubbe, M., Gärtner, B., Thiele, K., Ariunbold, J., Batsaikhan, N., Lkhagvasuren, Stubbe, A., & Stenhauser, D. (2021). Phylogenie, morphologie und ökologie mongolischer longorhrfleder-mäuse der gattung Plecotus (Mammalia, Chiroptera, Vespertilionidae). Ergebnisse der Mongolisch-Deutschen Biologischen Expeditionen, 14, 123-185."
Myotis_peninsularis,Myotis_velifer,lumped into Myotis velifer,lump,"Nájera-Cortazar, L. A., Álvarez-Castañeda, S. T., & De Luna, E. (2015). An analysis of Myotis peninsularis (Vespertilionidae) blending morphometric and genetic datasets. Acta Chiropterologica, 17(1), 37-47."
Dremomys_rufigenis,Dremomys_ornatus,split from Dremomys rufigenis,split,"Balakireva, A. E., Abramova, A. V., Phuonga, B. X., & Rozhnova, V. V. (2021). Natural Diversity and Phylogeny of Asian Red-Cheeked Squirrels (Rodentia, Sciuridae, Dremomys) in Eastern Indochina. Biology Bulletin, 48, 581-594."
Lagenorhynchus_albirostris,Lagenorhynchus_albirostris,"flag added regarding the genus split of Lagenorhynchus into L. albirostris, Leucopleurus, and Sagmatias, pending further data",flagged,https://marinemammalscience.org/science-and-publications/list-marine-mammal-species-subspecies/
Leucopleurus_acutus,Leucopleurus_acutus,"flag added regarding the genus split of Lagenorhynchus into L. albirostris, Leucopleurus, and Sagmatias, pending further data",flagged,https://marinemammalscience.org/science-and-publications/list-marine-mammal-species-subspecies/
Sagmatias_australis,Sagmatias_australis,"flag added regarding the genus split of Lagenorhynchus into L. albirostris, Leucopleurus, and Sagmatias, pending further data",flagged,https://marinemammalscience.org/science-and-publications/list-marine-mammal-species-subspecies/
Sagmatias_cruciger,Sagmatias_cruciger,"flag added regarding the genus split of Lagenorhynchus into L. albirostris, Leucopleurus, and Sagmatias, pending further data",flagged,https://marinemammalscience.org/science-and-publications/list-marine-mammal-species-subspecies/
Sagmatias_obliquidens,Sagmatias_obliquidens,"flag added regarding the genus split of Lagenorhynchus into L. albirostris, Leucopleurus, and Sagmatias, pending further data",flagged,https://marinemammalscience.org/science-and-publications/list-marine-mammal-species-subspecies/
Sagmatias_obscurus,Sagmatias_obscurus,"flag added regarding the genus split of Lagenorhynchus into L. albirostris, Leucopleurus, and Sagmatias, pending further data",flagged,https://marinemammalscience.org/science-and-publications/list-marine-mammal-species-subspecies/
NA,Tamiops_minshanica,recently described,de novo,"Liu, S., Tang, M., Murphy, R. W., Liu, Y., Wang, X., Wan, T., ... & Li, S. (2022). A new species of Tamiops (Rodentia, Sciuridae) from Sichuan, China. Zootaxa, 5116(3), 301-333."
