"MDDv1.7_Name","MDDv1.8_Name","Comment","Category","Reference"
NA,"Ctenomys_plebiscitum","recently described","de novo","Brook, F., Tomasco, I. H., González, B., & Martin, G. M. (2021). A new species of Ctenomys (Rodentia: Ctenomyidae) from Patagonia related to C. sociabilis. Journal of Mammalian Evolution, XX, XX-XX."
"Spilogale_gracilis","Spilogale_leucoparia","split from Spilogale gracilis","split","McDonough, M. M., Ferguson, A. W., Dowler, R. C., Gompper, M. E., & Maldonado, J. E. (2021). Phylogenomic systematics of the spotted skunks (Carnivora, Mephitidae, Spilogale): Additional species diversity and Pleistocene climate change as a major driver of diversification. Molecular Phylogenetics and Evolution, XX, XX-XX."
"Spilogale_angustifrons","Spilogale_yucatanensis","split from Spilogale angustifrons","split","McDonough, M. M., Ferguson, A. W., Dowler, R. C., Gompper, M. E., & Maldonado, J. E. (2021). Phylogenomic systematics of the spotted skunks (Carnivora, Mephitidae, Spilogale): Additional species diversity and Pleistocene climate change as a major driver of diversification. Molecular Phylogenetics and Evolution, XX, XX-XX."
"Spilogale_putorius","Spilogale_interrupta","split from Spilogale putorius","split","McDonough, M. M., Ferguson, A. W., Dowler, R. C., Gompper, M. E., & Maldonado, J. E. (2021). Phylogenomic systematics of the spotted skunks (Carnivora, Mephitidae, Spilogale): Additional species diversity and Pleistocene climate change as a major driver of diversification. Molecular Phylogenetics and Evolution, XX, XX-XX."
"Proteles_cristata","Proteles_cristatus","specific epithet spelling changed from 'cristata' to 'cristatus' to match the masculine genus","spelling change","Werdelin, L., Kitchener, A. C., Abramov, A., Veron, G., & San, E. D. L. (2021). The scientific name of the aardwolf is Proteles cristatus. African Journal of Wildlife Research, 51(1), 149-152."
"Nasuella_olivacea","Nasua_olivacea","moved from Nasuella to Nasua","genus change","Ruiz-García, M., Jaramillo, M. F., Cáceres-Martínez, C. H., & Shostell, J. M. (2020). The phylogeographic structure of the mountain coati (Nasuella olivacea; Procyonidae, Carnivora), and its phylogenetic relationships with other coati species (Nasua nasua and Nasua narica) as inferred by mitochondrial DNA. Mammalian Biology, 1-28.|Ruiz-García, M., Jaramillo, M. F., López, J. B., Rivillas, Y., Bello, A., Leguizamon, N., & Shostell, J. M. (2021). Mitochondrial and karyotypic evidence reveals a lack of support for the genus Nasuella (Procyonidae, Carnivora). Journal of Vertebrate Biology, 71(21040), 21040-1."
"Chionomys_nivalis","Chionomys_syriacus","syriacus was found to represent the same species as Chionomys nivalis rather than representing a synonym of Microtus socialis, resulting in a name change due to being the oldest name available","name change","Kryštufek, B., Shenbrot, G., & Janžekovič, F. (2021). Long-standing taxonomic confusion over the identity of Hypudaeus syriacus Brants, 1827, at last resolved. Mammalia, 85(6), 603-611."
NA,"Myotis_pampa","recently described","de novo","Novaes, R. L. M., Wilson, D. E., & Moratelli, R. (2021). A new species of Myotis (Chiroptera, Vespertilionidae) from Uruguay. Vertebrate Zoology, 71, 711."
NA,"Myotis_moratellii","recently described","de novo","Novaes, R. L. M., Cláudio, V. C., Carrión-Bonilla, C., Abreu, E. F., Wilson, D. E., Maldonado, J. E., & Weksler, M. (2021). Variation in the Myotis keaysi complex (Chiroptera, Vespertilionidae), with description of a new species from Ecuador. Journal of Mammalogy, gyab139."
"Marmosa_alstoni","Marmosa_nicaraguae","split from Marmosa alstoni","split","Voss, R. S., Giarla, T. C., & Jansa, S. A. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 4. Species of the Alstoni Group (Subgenus Micoureus). American Museum Novitates, 3983, 1-31."
NA,"Marmosa_adleri","recently described","de novo","Voss, R. S., Giarla, T. C., & Jansa, S. A. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 4. Species of the Alstoni Group (Subgenus Micoureus). American Museum Novitates, 3983, 1-31."
"Reithrodontomys_microdon","Reithrodontomys_albilabris","split from Reithrodontomys microdon","split","Martínez-Borrego, D., Arellano, E., González-Cózatl, F. X., Castro-Arellano, I., León-Paniagua, L., & Rogers, D. S. (2022). Molecular systematics of the Reithrodontomys tenuirostris group (Rodentia: Cricetidae) highlighting the Reithrodontomys microdon species complex. Journal of Mammalogy, 103(1), 29-44."
"Reithrodontomys_microdon","Reithrodontomys_wagneri","split from Reithrodontomys microdon","split","Martínez-Borrego, D., Arellano, E., González-Cózatl, F. X., Castro-Arellano, I., León-Paniagua, L., & Rogers, D. S. (2022). Molecular systematics of the Reithrodontomys tenuirostris group (Rodentia: Cricetidae) highlighting the Reithrodontomys microdon species complex. Journal of Mammalogy, 103(1), 29-44."
