"id","link","label","name","comment","city","location_link","location","state","country","hesperomys_num_type_specimens","museum_city_latitude","museum_city_longitude"
469,"http://hesperomys.com/c/469","AAM","Al Ain Museum","NA","Abu Dhabi","http://hesperomys.com/r/185","United Arab Emirates","NA","United Arab Emirates",1,"24.48","54.37"
811,"http://hesperomys.com/c/811","ABDSP","Anza-Borrego Desert State Park","NA","Borrego Springs","http://hesperomys.com/r/949","San Diego County, California","California","United States",9,"NA","NA"
386,"http://hesperomys.com/c/386","Abe collection","Collection of Y. Abe","At least part of this collection destroyed by fire in 1945 {Mammalia-named by Japanese.pdf}.","NA","http://hesperomys.com/r/85","Japan","NA","Japan",3,"NA","NA"
968,"http://hesperomys.com/c/968","ACAP","Association Culturelle, Archéologique et Paléontologie de l'Ouest Biterrois","NA","Cruzy","http://hesperomys.com/r/1983","Hérault","NA","France",2,"NA","NA"
206,"http://hesperomys.com/c/206","ACC","Academia de Ciencias de Cuba","NA","NA","http://hesperomys.com/r/43","Cuba","NA","Cuba",0,"NA","NA"
153,"http://hesperomys.com/c/153","ACM","Amherst College Museum","NA","Amherst","http://hesperomys.com/r/3558","Hampshire County, Massachusetts","Massachusetts","United States",79,"42.383333","-72.516666999999998"
1518,"http://hesperomys.com/c/1518","AEHM","Amur Natural History Museum","NA","Blagoveshensk","http://hesperomys.com/r/693","Amur Oblast","NA","Russia",5,"NA","NA"
1039,"http://hesperomys.com/c/1039","AEIM","Amur Natural History Museum","NA","Amursk","http://hesperomys.com/r/717","Khabarovsk Krai","NA","Russia",1,"50.22","136.9"
676,"http://hesperomys.com/c/676","AFU","Al Fateh University","NA","Tripoli","http://hesperomys.com/r/100","Libya","NA","Libya",18,"32.869999999999997","13.18"
930,"http://hesperomys.com/c/930","AGB","Anhui Geological Museum","NA","Hefei","http://hesperomys.com/r/267","Anhui","NA","China",11,"31.85","117.28"
1506,"http://hesperomys.com/c/1506","AHF","Allan Hancock Foundation","NA","Santa Maria","http://hesperomys.com/r/954","Santa Barbara County, California","California","United States",2,"34.94","-120.44"
1419,"http://hesperomys.com/c/1419","AHNU","Anhui Normal University","NA","Wuhu","http://hesperomys.com/r/267","Anhui","NA","China",4,"31.35","118.37"
293,"http://hesperomys.com/c/293","AHUB","Department of Biology, Anhui University","NA","NA","http://hesperomys.com/r/267","Anhui","NA","China",7,"NA","NA"
1368,"http://hesperomys.com/c/1368","Aichi","Aichi University","NA","NA","http://hesperomys.com/r/4361","Aichi Prefecture","NA","Japan",1,"NA","NA"
295,"http://hesperomys.com/c/295","AIM","Auckland Institute and Museum","NA","Auckland","http://hesperomys.com/r/127","New Zealand","NA","New Zealand",3,"-36.85","174.76"
350,"http://hesperomys.com/c/350","AIMZ","Anthropological Institute and Museum of the University of Zürich","NA","Zürich","http://hesperomys.com/r/4098","Zürich","NA","Switzerland",2,"47.38","8.5399999999999991"
1159,"http://hesperomys.com/c/1159","AK","Museum of Anatolian Civilizations","NA","Ankara","http://hesperomys.com/r/180","Turkey","NA","Turkey",4,"39.93","32.85"
