"year","valid_species_totals","available_name_totals","smoothed_10_year_percent_species","smoothed_10_year_percent_lumps","smoothed_10_year_percent_splits","smoothed_10_year_percent_subspecies"
1758,157,208,NA,NA,NA,NA
1760,1,3,NA,NA,NA,NA
1761,2,2,NA,NA,NA,NA
1765,2,2,NA,NA,NA,NA
1766,44,72,NA,NA,NA,NA
1767,6,8,NA,NA,NA,NA
1768,1,3,NA,NA,NA,NA
1769,4,6,NA,NA,NA,NA
1770,6,7,NA,NA,NA,NA
1771,9,11,71.2457681207681,25.423951048951,0,2.67322954822955
1772,0,4,63.6976911976912,34.3181818181818,0,1.56746031746032
1773,12,16,67.8643578643579,30.1515151515151,0,1.56746031746032
1774,15,22,64.6825396825397,31.5151515151515,0,2.02200577200577
1775,10,15,61.3492063492063,33.5151515151515,0,2.68867243867244
1776,26,66,59.1774891774892,35.7878787878788,0.151515151515152,2.7012987012987
1777,36,113,54.8633298854538,37.0931885223921,0.328506301957629,5.09067923227215
1778,7,17,55.647643610944,36.3088747969019,0.328506301957629,5.09067923227215
1779,14,48,51.897643610944,38.3922081302352,0.953506301957629,6.75734589893882
1780,24,52,47.9415996549,43.0075927456198,0.953506301957629,5.32877447036739
1781,1,7,41.1883529016533,49.7608394988666,0.953506301957629,5.32877447036739
1782,16,36,45.6327973460977,44.205283943311,0.953506301957629,5.32877447036739
1783,6,8,45.6327973460977,44.205283943311,0.953506301957629,5.32877447036739
1784,2,7,41.6717583850587,48.5559332939604,0.953506301957629,4.87422901582194
1785,10,70,36.4336631469635,52.6987904368175,0.953506301957629,6.20756234915527
1786,1,5,34.4942692075696,53.0927298307569,0.801991150442478,8.05604719764012
1787,1,4,33.808428499605,54.2874200962436,0.625,8.16666666666667
1788,12,101,30.8789002526626,51.1773443827899,0.823019801980198,14.3052805280528
1789,1,19,28.4885493754696,54.1817303477022,0.198019801980198,13.1649296508598
1790,2,9,26.0953869823073,54.010790176762,0.198019801980198,16.4982629841932
1791,3,8,28.4168155537358,51.6893616053335,0.198019801980198,16.4982629841932
1792,29,216,25.314963701884,49.8838060497779,0.938760542720939,22.7019666878969
1793,1,19,18.3412794913577,56.3311744708305,0.938760542720939,22.7019666878969
1794,1,11,16.3932275433057,58.798706938363,0.938760542720939,22.7019666878969
1795,3,35,15.8217989718771,61.798706938363,0.938760542720939,20.7019666878969
1796,5,24,15.9051323052105,60.798706938363,0.938760542720939,21.2019666878969
1797,11,50,15.6051323052105,62.598706938363,0.938760542720939,19.5019666878969
1798,0,12,14.4170134933293,69.8264297106402,0.740740740740741,13.3633528265107
1799,7,56,15.1406977038556,68.5482342219184,0.740740740740741,13.7298941798942
1800,10,64,14.4809754816334,71.135039777474,0.740740740740741,10.3965608465608
1801,3,65,11.1925139431718,67.0388859313202,0.740740740740741,17.7811762311762
1802,1,29,10.1947489367861,73.0206866976037,0,11.5774725274725
1803,17,84,11.692242671122,71.0971278003606,0,11.5774725274725
1804,17,69,13.2469198779731,69.4370487489772,0,12.1571826724001
1805,2,15,13.7231103541636,68.29419160612,0,12.1571826724001
1806,9,19,16.3766191260934,67.5047179219095,0,9.65718267240007
1807,8,17,18.8825014790346,64.822364980733,0,8.85718267240006
1808,1,27,19.2528718494049,63.7112538696219,0,8.85718267240006
1809,3,37,18.8136826602158,61.9738021321702,0,8.50486607008346
1810,12,37,20.494425903459,58.4560656456837,0,10.9372985025159
1811,33,97,23.4349492975906,62.3846937186417,0.206185567010309,3.96505425192113
1812,10,40,25.5901217113837,59.5140040634692,0.206185567010309,4.46505425192113
1813,6,13,28.1816968029588,57.1055791550443,0.206185567010309,5.2342850211519
1814,10,70,27.1465001155882,57.2981257388953,0.206185567010309,4.7974320190815
1815,14,38,29.4973773085707,55.6139152125795,0.206185567010309,4.7974320190815
1816,7,33,26.8817473245197,58.6761161695173,0.206185567010309,5.40349262514211
1817,24,90,24.8425316382451,61.3362468884715,0.206185567010309,5.40349262514211
1818,23,98,26.819100043385,58.9779702444806,0.206185567010309,5.40349262514211
1819,4,27,27.4897707140557,61.7207129872233,0.206185567010309,4.86295208460157
1820,17,69,26.7102955867544,64.5840110679127,0.206185567010309,3.30008486956044
1821,41,147,26.0973493773428,64.9641218751222,0,3.15982257907724
1822,26,125,25.6773493773428,64.3341218751222,0,5.13982257907724
1823,49,137,24.6386070977246,65.7041387195916,0,4.66256261276618
1824,20,65,26.2869587460763,65.6052376206905,0,4.51970546990903
1825,24,123,24.5539677319556,66.4439196917217,0,4.76360790893342
1826,10,68,23.9033438460376,66.9653100660533,0,4.30460612640223
1827,25,206,22.4502694123807,67.2749109290522,0,5.56674204873233
1828,20,82,22.5423550271144,67.9394206353738,0,5.68869326824452
1829,25,164,22.5852637895353,64.9132237067378,0.121951219512195,8.98137619507379
1830,25,86,23.0284724177793,64.5829237404419,0.121951219512195,8.57692725675225
1831,21,82,22.8003323812769,65.0715582186234,0.121951219512195,8.79262329126362
1832,24,113,22.8442261865867,66.9427086611013,0.121951219512195,6.57811001692734
1833,22,81,21.9836332335363,67.7474306580374,0.121951219512195,6.656509584378
1834,29,90,22.1289323788354,67.354268264875,0.121951219512195,7.10095402882244
1835,26,78,23.5110461999736,66.3536428740057,0.121951219512195,6.98525671800318
1836,34,123,24.804685606956,65.0635902675973,0.203252032520325,7.48860439853881
1837,54,168,26.805379088232,64.404783055392,0.203252032520325,6.28599228573252
1838,60,168,27.9377832694166,62.983470627982,0.203252032520325,6.34261249479176
1839,43,132,29.67096878309,63.7706103175607,0.157058388765706,3.50447502250794
1840,54,196,29.5190940797202,64.509812975368,0.310119613255502,3.2944607842545
1841,47,187,29.4714874539213,64.4035132492692,0.310119613255502,3.28793932866561
1842,74,287,29.9259908611552,64.3810039217739,0.344962818830415,3.26635504202629
1843,40,152,29.8415204258075,63.906669938668,0.344962818830415,3.68545835586644
1844,40,146,29.3590242309826,63.9858175794594,0.413455969515346,4.06293171964118
1845,35,154,28.2984181703765,63.6761272697691,0.413455969515346,5.23342789013735
1846,18,82,27.7293124793196,62.4159646681431,0.332155156507216,6.90009455680401
1847,32,158,26.5403432207301,62.5696717205843,0.332155156507216,8.04310239284982
1848,14,52,25.6612223416092,64.1035545044671,0.332155156507216,7.8645309642784
1849,20,58,25.8519224461024,63.88411876779,0.25639758074964,7.75481309593984
1850,13,63,25.1603124687782,64.2412616249329,0.103336356259844,8.13463169004415
1851,31,104,25.6277127155902,64.2232649157597,0.199490202413691,7.94180980604579
1852,17,76,25.2861576083098,63.8335711691982,0.164646996838778,8.35580210386351
1853,29,97,25.6442693825908,64.1157198398439,0.267739780343932,7.9786995536736
1854,9,44,24.9499979006481,65.5416227041029,0.199246629659001,7.38405447272715
1855,30,138,24.8511836713991,65.7119596135702,0.199246629659001,7.46216476822875
1856,11,43,25.2142012550633,67.4448013605924,0.199246629659001,5.61020787656681
1857,26,76,26.6099374309461,66.3888386690534,0.199246629659001,5.06557096783929
1858,16,125,25.1976297386384,61.7211463613611,0.199246629659001,10.9855709678393
1859,15,67,23.9881598467187,62.1508941740219,0.348500361002284,12.1332806950652
1860,28,255,23.0227069989129,56.9688213448903,0.387716047276794,18.4787522170073
1861,32,84,23.8514615776675,56.0942792203481,0.291562201122948,18.3093382975934
1862,16,74,23.7767816345665,55.461277797873,0.426697336258083,19.4082003175081
1863,20,106,22.6738833657472,54.4293773893922,0.417944175394438,21.6373386174497
1864,10,48,22.7117621536259,53.1604379954528,0.417944175394438,22.660065890177
1865,30,120,23.0378491101477,52.9792785751629,0.584610842061105,23.1165876293074
1866,33,129,23.0378491101477,52.746720435628,0.584610842061105,23.0390682494625
1867,54,238,21.885704041594,51.8002365789275,0.710661262229172,25.6164676302674
1868,14,88,22.196613132503,55.6375093062002,0.710661262229172,21.5146494484492
1869,15,99,21.4729586775053,54.1645709675902,0.561407530885888,23.5574656703699
1870,19,59,23.5952584448699,58.4749730945427,0.522191844611378,16.5770735135072
1871,48,181,22.4376683370035,58.5999402084601,0.632689082180439,17.7287441265038
1872,22,120,22.1088395081747,59.9039942625141,0.497553947045304,16.471987369747
1873,11,79,21.6144521186356,61.1733995646398,0.403214324403795,15.3494652775569
1874,14,60,21.8644521186356,60.8817328979731,0.903214324403795,16.0994652775569
1875,27,91,22.3314850856686,60.8725753888156,0.736547657737128,15.0353627134543
1876,22,71,22.8719371000807,59.4805020183603,0.877392728159663,16.1970615888774
1877,38,129,23.548765971164,61.179739853029,0.906381067681518,13.659441889835
1878,23,90,24.5134124358104,58.1469115702008,0.906381067681518,13.0634822938754
1879,25,81,26.0846806737453,59.4263728496621,0.906381067681518,10.3923262893861
1880,25,57,27.2503066029752,58.2429057072297,0.906381067681518,10.7432034823685
1881,19,63,27.6142459171908,57.4036528790266,0.795883830112458,11.2185169963561
1882,17,51,29.1142459171908,55.2516920947129,0.795883830112458,12.2871444473365
1883,12,52,30.0295331615919,55.1470182875074,0.98819152242015,11.5373878747951
1884,20,88,29.9689271009859,55.5712607117498,0.829100613329241,11.0146606020678
1885,12,54,29.2241163561751,54.1915293320185,0.829100613329241,13.5787631661704
1886,17,48,29.667191473546,52.1727499892954,1.10492220957337,15.3628007248558
1887,28,89,29.8675224551678,51.6240173005053,1.06224300044525,15.901081362431
1888,52,140,31.026252613898,54.1795728560608,1.27652871473096,15.0360019973516
1889,38,129,30.8855692949201,53.5249647595923,1.74164499380073,16.1873083424564
1890,59,146,30.5407002730504,52.5468345024426,2.15260389791032,18.0967051220767
1891,30,90,30.8581605905107,51.975405931014,2.26371500902143,18.3506733760449
1892,42,123,30.9394614035188,52.4871228128887,2.42631663503769,17.8389564941702
1893,54,145,32.355907026861,50.583939789016,2.44090549445414,18.7248981387326
1894,64,237,32.783601695062,49.3938745799635,2.35316096050707,19.35733005281
