"status_type","status","total_names","authority_author_count","authority_year_count","year_since_2000_count","original_combination_total","original_rank_count","authority_citation_count","verified_authority_citation_count","authority_page_count","authority_link_count","authority_page_link_count","type_locality_count","original_type_locality_count","type_coordinates_count","type_specimen_count","type_specimen_link_count"
"Nomenclature Status","as_emended",41,41,41,1,41,41,41,38,41,37,33,41,34,8,36,26
"Nomenclature Status","available",26372,26372,26364,1172,26292,26292,26313,21904,26053,20349,17200,26275,17481,2713,19915,12746
"Nomenclature Status","before_1758",7,7,7,0,7,7,7,6,7,6,2,1,1,0,0,0
"Nomenclature Status","conditional",6,6,6,0,6,6,6,5,6,0,0,6,4,0,3,0
"Nomenclature Status","fully_suppressed",6,6,6,0,6,6,6,3,6,3,4,5,3,0,2,1
"Nomenclature Status","hybrid_as_such",7,7,7,0,7,7,7,7,7,7,5,4,4,0,0,0
"Nomenclature Status","hypothetical_concept",1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0
"Nomenclature Status","inconsistently_binominal",79,79,79,0,79,79,79,76,78,76,75,63,40,1,0,0
"Nomenclature Status","incorrect_original_spelling",44,44,44,2,44,44,44,36,44,28,22,6,0,0,1,1
"Nomenclature Status","incorrect_subsequent_spelling",2698,2698,2698,605,2697,2697,2696,2445,2685,2019,1114,171,57,0,2,1
"Nomenclature Status","infrasubspecific",329,329,329,0,329,329,327,286,324,252,239,306,236,0,38,16
"Nomenclature Status","justified_emendation",47,47,47,2,46,46,47,43,47,40,36,5,1,0,0,0
"Nomenclature Status","mandatory_change",2,2,2,0,2,2,2,1,2,1,1,0,0,0,0,0
"Nomenclature Status","misidentification",289,289,289,0,288,288,288,247,285,232,203,162,81,0,4,2
"Nomenclature Status","name_combination",15535,15535,15535,8098,15535,15535,15535,15497,10328,11162,3901,93,58,0,10,4
"Nomenclature Status","no_type_specified",3,3,3,3,3,3,3,3,3,2,1,2,2,0,1,0
"Nomenclature Status","nomen_novum",832,832,832,13,832,832,832,711,822,646,545,823,618,30,460,227
"Nomenclature Status","nomen_nudum",1175,1175,1175,63,1167,1167,1169,866,1139,779,615,536,240,6,50,16
"Nomenclature Status","not_explicitly_new",2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0
"Nomenclature Status","not_intended_as_a_scientific_name",64,64,64,0,64,64,64,63,64,58,55,21,9,0,0,0
"Nomenclature Status","not_published_with_a_generic_name",27,27,27,0,27,27,27,26,27,26,27,24,19,1,6,0
"Nomenclature Status","not_used_as_valid",193,193,193,0,193,193,193,165,193,159,133,88,26,3,11,5
"Nomenclature Status","partially_suppressed",28,28,28,0,28,28,28,22,28,22,21,27,20,0,6,0
"Nomenclature Status","preoccupied",1006,1006,1006,5,1001,1001,999,732,979,688,607,994,646,19,354,164
"Nomenclature Status","rejected_by_fiat",35,35,35,35,35,35,35,35,35,0,0,35,35,1,35,1
"Nomenclature Status","subsequent_usage",142,142,142,2,142,142,141,135,142,127,113,61,45,0,2,1
"Nomenclature Status","unjustified_emendation",218,218,218,14,217,217,218,197,214,180,139,44,19,1,6,3
"Nomenclature Status","unpublished",5,5,5,1,5,5,5,3,4,0,0,0,0,0,0,0
"Nomenclature Status","unpublished_electronic",11,11,11,10,11,11,11,11,11,8,0,10,9,8,9,0
"Nomenclature Status","unpublished_pending",2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0
"Nomenclature Status","unpublished_supplement",2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0
"Nomenclature Status","unpublished_thesis",25,25,25,4,25,25,25,18,20,1,0,19,17,3,16,11
"Nomenclature Status","variant",24,24,24,0,19,19,20,0,18,0,5,3,0,0,0,0
"Nomenclature Status","variety_or_form",24,24,24,0,24,24,24,8,24,5,3,22,6,1,16,0
"Validity Status","composite",10,10,10,0,10,10,10,7,9,7,6,10,6,0,3,0
"Validity Status","hybrid",12,12,12,1,12,12,12,12,12,10,8,6,6,0,1,0
"Validity Status","nomen_dubium",475,475,475,29,470,470,475,414,467,393,328,327,255,4,92,25
"Validity Status","species",6759,6759,6759,899,6759,6759,6759,6150,6756,5820,4619,6759,5282,1852,5941,3617
"Validity Status","species_inquirenda",94,94,94,0,94,94,94,88,93,80,63,79,71,1,18,3
"Validity Status","synonym",42880,42880,42872,9494,42783,42783,42798,37821,37001,31393,20679,22886,14247,943,14977,9600
"Total","total_synonyms",50230,50230,50222,10423,50128,50128,50148,44492,44338,37703,25703,30067,19867,2800,21032,13245
