"museum_label","museum_name","museum_country","museum_subregion","museum_city","museum_city_latitude","museum_city_longitude","total_type_specimens","holotype_count","syntype_count","lectotype_count","neotype_count","nonexistent_count"
"AAM","Al Ain Museum","United Arab Emirates","NA","Abu Dhabi","24.48","54.37",NA,NA,NA,NA,NA,NA
"ABDSP","Anza-Borrego Desert State Park","United States","California","Borrego Springs","NA","NA",NA,NA,NA,NA,NA,NA
"Abe collection","Collection of Y. Abe","Japan","NA","NA","NA","NA",3,1,2,0,0,0
"ACAP","Association Culturelle, Archéologique et Paléontologie de l'Ouest Biterrois","France","NA","Cruzy","NA","NA",NA,NA,NA,NA,NA,NA
"ACC","Academia de Ciencias de Cuba","Cuba","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"ACM","Amherst College Museum","United States","Massachusetts","Amherst","42.383333","-72.516666999999998",1,1,0,0,0,0
"AEHM","Amur Natural History Museum","Russia","NA","Blagoveshensk","NA","NA",NA,NA,NA,NA,NA,NA
"AEIM","Amur Natural History Museum","Russia","NA","Amursk","50.22","136.9",NA,NA,NA,NA,NA,NA
"AFU","Al Fateh University","Libya","NA","Tripoli","32.869999999999997","13.18",NA,NA,NA,NA,NA,NA
"AGB","Anhui Geological Museum","China","NA","Hefei","31.85","117.28",NA,NA,NA,NA,NA,NA
"AHF","Allan Hancock Foundation","United States","California","Santa Maria","34.94","-120.44",NA,NA,NA,NA,NA,NA
"AHNU","Anhui Normal University","China","NA","Wuhu","31.35","118.37",3,3,0,0,0,0
"AHUB","Department of Biology, Anhui University","China","NA","NA","NA","NA",7,7,0,0,0,0
"Aichi","Aichi University","Japan","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"AIM","Auckland Institute and Museum","New Zealand","NA","Auckland","-36.85","174.76",2,2,0,0,0,0
"AIMZ","Anthropological Institute and Museum of the University of Zürich","Switzerland","NA","Zürich","47.38","8.5399999999999991",2,2,0,0,0,0
"AK","Museum of Anatolian Civilizations","Turkey","NA","Ankara","39.93","32.85",NA,NA,NA,NA,NA,NA
"ALP","Coleção Adriano Lúcio Peracchi, Laboratório de Mastozoologia, Universidade Federal Rural do Rio de Janeiro","Brazil","Rio de Janeiro","NA","NA","NA",3,3,0,0,0,0
"AM","Australian Museum","Australia","New South Wales","Sydney","-33.869999999999997","151.21",213,174,29,7,3,0
"ÄM","Ägyptisches Museum","Germany","Berlin","Berlin","52.52","13.38",1,0,0,1,0,0
"AMA","Académie Malgache","Madagascar","NA","Antananarivo","-18.89","47.51",2,1,1,0,0,0
