MDDv1.1_SciName,MDDv1.2_SciName,Comments,Category,References
NA,Canis_familiaris,left out of MDD v1.0 but subsequently added,added,"Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
NA,Hyperplagiodontia_araeum,left out of MDD v1.0 but subsequently added,added,"Hansford, J., Nuñez-Miño, J. M., Young, R. P., Brace, S., Brocca, J. L., & Turvey, S. T. (2012). Taxonomy-testing and the ‘Goldilocks Hypothesis': morphometric analysis of species diversity in living and extinct Hispaniolan hutias. Systematics and Biodiversity, 10(4), 491-507.|Fabre, P.-H., Upham, N. S., Emmons, L. H., Justy, F., Leite, Y. L. R., Loss, A. C., Orlando, L., Tilak, M.-K., Patterson, B. D., and Douzery, E. J. P. (2017). Mitogenomic Phylogeny, Diversification, and Biogeography of South American Spiny Rats. Molecular Biology and Evolution. 34 (3): 613–633."
NA,Megaladapis_madagascariensis,left out of MDD v1.0 but subsequently added,added,NA
NA,Mustela_furo,left out of MDD v1.0 but subsequently added,added,"Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
NA,Pipistrellus_hesperidus,left out of MDD v1.0 but subsequently added,added,NA
NA,Rhizoplagiodontia_lemkei,left out of MDD v1.0 but subsequently added,added,"Hansford, J., Nuñez-Miño, J. M., Young, R. P., Brace, S., Brocca, J. L., & Turvey, S. T. (2012). Taxonomy-testing and the ‘Goldilocks Hypothesis': morphometric analysis of species diversity in living and extinct Hispaniolan hutias. Systematics and Biodiversity, 10(4), 491-507.|Fabre, P.-H., Upham, N. S., Emmons, L. H., Justy, F., Leite, Y. L. R., Loss, A. C., Orlando, L., Tilak, M.-K., Patterson, B. D., and Douzery, E. J. P. (2017). Mitogenomic Phylogeny, Diversification, and Biogeography of South American Spiny Rats. Molecular Biology and Evolution. 34 (3): 613–633."
NA,Solenodon_arredondoi,left out of MDD v1.0 but subsequently added,added,NA
NA,Solomys_spriggsarum,left out of MDD v1.0 but subsequently added,added,NA
NA,Anoura_javieri,recently described,de novo,"Pacheco, V., Sánchez-Vendizú, P., & Solari, S. (2018). A new species of Anoura Gray, 1838 (Chiroptera: Phyllostomidae) from Peru, with taxonomic and biogeographic comments on species of the Anoura caudifer complex. Acta Chiropterologica, 20(1), 31-50."
NA,Antillomys_rayi,"recently described (originally described in supplemental material in 2015, which doesn't meet the standards of the ICZN Code, officially described in 2023)",de novo,"Brace, S., Turvey, S. T., Weksler, M., Hoogland, M. L., & Barnes, I. (2015). Unexpected evolutionary diversity in a recently extinct Caribbean mammal radiation. Proceedings of the Royal Society B: Biological Sciences, 282(1807), 20142371.|Brace, S., Turvey, S.T., Weksler, M., Hoogland, M.L.P. and Barnes, I. 2023-03-27. Establishing the availability of the mammalian genus name Antillomys and species name _Antillomys rayi_ (Rodentia, Cricetidae). Therya 14(2):293-298."
NA,Apodemus_nigrus,recently described,de novo,"Ge, D., Feijó, A., Cheng, J., Lu, L., Liu, R., Abramov, A. V., ... & Yang, Q. (2019). Evolutionary history of field mice (Murinae: Apodemus), with emphasis on morphological variation among species in China and description of a new species. Zoological Journal of the Linnean Society, 187(2), 518-534.|Mezhzherin, S., & Tereshchenko, V. (2023). Taxonomic Hierarchy and Evolutionary Scenario of the Genus Group Apodemus sl (Muridae) of the Palearctic based of Genetic Differentiation in the cyt-b Gene. Zoodiversity, 57(1), 1-12."
NA,Barbastella_pacifica,recently described,de novo,"Kruskop, S. V., Kawai, K., & Tiunov, M. P. (2019). Taxonomic status of the barbastelles (Chiroptera: Vespertilionidae: Barbastella) from the Japanese archipelago and Kunashir Island. Zootaxa, 4567(3), 461-476."
NA,Berardius_minimus,recently described,de novo,"Yamada, T. K., Kitamura, S., Abe, S., Tajima, Y., Matsuda, A., Mead, J. G., & Matsuishi, T. F. (2019). Description of a new species of beaked whale (Berardius) found in the North Pacific. Scientific reports, 9(1), 1-14."
