MDDv1.0_name,MDDv2.0_name,Comments,Category,References
NA,Canis_familiaris,left out of MDD v1.0 but subsequently added,added,"Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
NA,Gerbillus_mauritaniae,left out of MDD v1.0 but subsequently added,added,NA
NA,Gerbillus_syrticus,left out of MDD v1.0 but subsequently added,added,NA
NA,Gerbillus_vivax,left out of MDD v1.0 but subsequently added,added,NA
NA,Hyperplagiodontia_araeum,left out of MDD v1.0 but subsequently added,added,"Hansford, J., Nuñez-Miño, J. M., Young, R. P., Brace, S., Brocca, J. L., & Turvey, S. T. (2012). Taxonomy-testing and the ‘Goldilocks Hypothesis': morphometric analysis of species diversity in living and extinct Hispaniolan hutias. Systematics and Biodiversity, 10(4), 491-507.|Fabre, P.-H., Upham, N. S., Emmons, L. H., Justy, F., Leite, Y. L. R., Loss, A. C., Orlando, L., Tilak, M.-K., Patterson, B. D., and Douzery, E. J. P. (2017). Mitogenomic Phylogeny, Diversification, and Biogeography of South American Spiny Rats. Molecular Biology and Evolution. 34 (3): 613–633."
NA,Megaladapis_madagascariensis,left out of MDD v1.0 but subsequently added,added,NA
NA,Mustela_furo,left out of MDD v1.0 but subsequently added,added,"Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
NA,Pipistrellus_hesperidus,left out of MDD v1.0 but subsequently added,added,NA
NA,Rhizoplagiodontia_lemkei,left out of MDD v1.0 but subsequently added,added,"Hansford, J., Nuñez-Miño, J. M., Young, R. P., Brace, S., Brocca, J. L., & Turvey, S. T. (2012). Taxonomy-testing and the ‘Goldilocks Hypothesis': morphometric analysis of species diversity in living and extinct Hispaniolan hutias. Systematics and Biodiversity, 10(4), 491-507.|Fabre, P.-H., Upham, N. S., Emmons, L. H., Justy, F., Leite, Y. L. R., Loss, A. C., Orlando, L., Tilak, M.-K., Patterson, B. D., and Douzery, E. J. P. (2017). Mitogenomic Phylogeny, Diversification, and Biogeography of South American Spiny Rats. Molecular Biology and Evolution. 34 (3): 613–633."
NA,Solenodon_arredondoi,left out of MDD v1.0 but subsequently added,added,NA
NA,Solomys_spriggsarum,left out of MDD v1.0 but subsequently added,added,NA
NA,Akodon_diauarum,recently described,de novo,"Brandão, M. V., Carmignotto, A. P., Percequillo, A. R., Christoff, A. U., Mendes-Oliveira, A. C., & Geise, L. (2022). A new species of Akodon Meyen, 1833 (Rodentia: Cricetidae) from dry forests of the Amazonia-Cerrado transition. Zootaxa, 5205(5), 401-435."
NA,Akodon_kadiweu,recently described,de novo,"Brandão, M. V., Percequillo, A. R., D'Elía, G., Paresque, R., & Carmignotto, A. P. (2021). A new species of Akodon Meyen, 1833 (Rodentia: Cricetidae: Sigmodontinae) endemic from the Brazilian Cerrado, Journal of Mammalogy, 102(1), 101-122."
NA,Alexandromys_alpinus,recently described,de novo,"Lissovsky, A. A., Petrova, T. V., Yatsentyuk, S. P., Golenishchev, F. N., Putincev, N. I., Kartavtseva, I. V., ... & Abramson, N. I. (2018). Multilocus phylogeny and taxonomy of East Asian voles Alexandromys (Rodentia, Arvicolinae). Zoologica Scripta, 47(1), 9-20.|Bannikova, A. A., Lebedev, V. S., Poplavskaya, N. S., Simanovsky, S. A., Undrakhbayar, E., Adiya, Y., & Surov, A. S. (2019). Phylogeny and phylogeography of arvicoline and lagurine voles of Mongolia. Journal of Vertebrate Biology, 68(2), 100-113."
NA,Alpiscaptulus_medogensis,recently described,de novo,"Chen, Z. Z., He, S. W., Hu, W. H., Song, W. Y., Onditi, K. O., Li, X. Y., & Jong, X. L. (2021). Morphology and phylogeny of scalopine moles (Eulipotyphla: Talpidae: Scalopini) from the eastern Himalayas, with descriptions of a new genus and species. Zoological Journal of the Linnean Society, 2021, XX, 1-13."
NA,Alticola_kohistanicus,recently described,de novo,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
NA,Anoura_javieri,recently described,de novo,"Pacheco, V., Sánchez-Vendizú, P., & Solari, S. (2018). A new species of Anoura Gray, 1838 (Chiroptera: Phyllostomidae) from Peru, with taxonomic and biogeographic comments on species of the Anoura caudifer complex. Acta Chiropterologica, 20(1), 31-50."
