File,Columns,Explanation
MDD1.0_species_list,,Complete species list and associated data for Mammal Diversity Database version 1.0.
,MajorType,the higher taxonomic grouping (subclass/infraclass) that the species is included under
,MajorSubtype,the higher taxonomic grouping (magnorder) that the species is included under
,Order,taxonomic order; all taxa are included in an order
,Family,taxonomic family; all taxa are included in a family
,Subfamily,"taxonomic subfamily (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific subfamily when subfamilies are used in the family it is included under"
,Tribe,"taxonomic tribe (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific tribe when tribes are used in the family it is included under"
,Genus,"taxonomic genus, all taxa are included in a genus"
,SciName,taxonomic species name (genus + species)
,juniorSynonym?,whether the name is a junior synonym of another species
,synonymOf?,if the species was a synonym of another species in MSW3
,TaxonomyNotes,notes by MDD staff upon making taxonomic changes -- separated by semicolons (;)
,TaxonomyNotes_Citation,evidence citation backing up the changes made in the taxonomyNotes column by MDD staff; separated by pipes (|); citations are generally in APA format
,extinct?,"0 = extant, 1 = extinct; species has gone entirely extinct or is expected to have become extinct after 1500 CE (similar criterion as used by IUCN)"
,Authority_author,"species authority: author last name(s) that first described the species as sourced from the Species_Syn_Current sheet, following typical guidelines for format with specifics listed here; all authors on the author line of the publication in which the species is described are included; a comma is presented after the second to last name if there are more than two authors (e.g., S. E. Pavan, Mendes-Oliveira, & Voss); if the volume was described in a book or journal article with a differing set of editors/authors in the author line, an 'in' statement is used after the initial authors, followed by the editors/authors of the primary text (e.g., D. J. Kitchener in D. J. Kitchener & Maryanto); when two authors share the same surname, the initials are added before the surname in both cases, and if they share the same initials, then the middle name is also written out (e.g. J. A. Allen and G. M. Allen); for names of Chinese, Korean, and Indochinese origin, the full name is writen out with the surname put first and hyphens removed to match the format typically given in Chinese publication (e.g., Kuo Haochih, Fang Yinping, Csorba, & Lee Lingling)"
,Authority_year,species authority: year that author first described the species as sourced from the Species_Syn_Current sheet
,Authority_fullcitation,"full or abbreviated literature citation of the authority publication as sourced from the Species_Syn_Current sheet; if the citation has been verified through obtaining a PDF of the original description or by seeing a physical copy of the volume, the citation will be in standardized APA format, otherwise, the citation may be in an abbreviated citation based on the source that the citation was originally found in"
,Authority_link,"hyperlink to the original description publication listed under the 'authoritySpeciesCitation' column or the journals page for the abstract for publications without open access, as sourced from the Species_Syn_Current sheet; if a link is available to the exact page of the publication in resources such as the Biodiversity Heritage Library, those are preferentially included here over links to the publication itself, but if no exact page link is available, a link is presented to the publication itself (with newer publications including the DOI associated with them)"
,Geo_distribution,"biogeographic realm(s) where the species is present, as separated by pipes (|) and following the same rules as the countryDistribution field (refer to: https://en.wikipedia.org/wiki/Biogeographic_realm#/media/File:Ecozones.svg)"
,MDDv1,unused column for whether a species would be included in MDD version 1.0
,ID_number,unique identification number that is now replaced with the newer numbering system in later versions
,newSppSinceMSW3?,0 = species present in MSW3 taxonomy; 1 = species is new since MSW3 cutoff of ~2004
,IfNew_category,"if new since MSW3, this columns lists whether the species was split from another species ('split) or if it was described as a new name ('de novo')"
,IfNew_valid_SciName,currently valid scientific name if the species was recognized since MSW3
,IfNew_described_SciName,original name combination if the species was new since MSW3
,IfNew_GeoRegion,country the species is found if new since MSW3
,IfNew_evidenceCitation,citation supporting new species recognition since MSW3
,IfNew_evidenceAuthors,authors from citation supporting new species recognition since MSW3
,IfNew_evidenceYear,year from citation supporting new species recognition since MSW3
,IfNew_evidenceLink,link to citation supporting new species recognition since MSW3
,IfNew_nameCitation,original authority citation of new species recognized since MSW3
,IfNew_nameAuthors,original authority of new species recognized since MSW3
,IfNew_nameYear,original year of new species recognized since MSW3
,IfNew_nameLink,original citation link of new species recognized since MSW3
,genusTransfersinceMSW3?,"0 = no genus change, 1 = genus changed since MSW3; whether the given name has gone through a generic change since MSW3"
,IfTransfer_oldSciName,MSW3 scientific name if the name has changed genera since then
,IfTransfer_oldIUCN_ID,IUCN scientific name if the name has changed genera since then
,IfTransfer_evidenceCitation,citation supporting generic change if changed since MSW3
,,
MDD1.1_species_list,,Complete species list and associated data for Mammal Diversity Database version 1.1.
,id,unique identification number that is now replaced with the newer numbering system in later versions
,SciName,"unique combination of taxonomic genus and specific epithet with an underscore connecting them to be used in the MDD.  Uses formula to fill cell from the 'genus' and 'specificEpithet' columns, DO NOT EDIT MANUALLY"
,MajorType,the higher taxonomic grouping (subclass/infraclass) that the species is included under
,MajorSubtype,the higher taxonomic grouping (magnorder) that the species is included under
,Order,taxonomic order; all taxa are included in an order
,Family,taxonomic family; all taxa are included in a family
,Subfamily,"taxonomic subfamily (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific subfamily when subfamilies are used in the family it is included under"
,Tribe,"taxonomic tribe (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific tribe when tribes are used in the family it is included under"
,Genus,"taxonomic genus, all taxa are included in a genus"
,specific_epithet,taxonomic species epithet
