"MDDv1.0 Name","MDDv1.1 Name","Comment","Category","Reference"
NA,"Gerbillus_mauritaniae","initially left off of MDD, added in version 1.1","added",NA
NA,"Gerbillus_syrticus","initially left off of MDD, added in version 1.2","added",NA
NA,"Gerbillus_vivax","initially left off of MDD, added in version 1.3","added",NA
NA,"Hippopotamus_guldbergi","initially left off of MDD, added in version 1.4","added",NA
NA,"Mammuthus_primigenius","initially left off of MDD, added in version 1.5","added",NA
NA,"Megaloceros_giganteus","initially left off of MDD, added in version 1.6","added",NA
NA,"Myotis_oreias","initially left off of MDD, added in version 1.7","added",NA
NA,"Myotragus_balearicus","initially left off of MDD, added in version 1.8","added",NA
NA,"Cassistrellus_yokdonensis","recently described","de novo","Ruedi, M., Eger, J. L., Lim, B. K., & Csorba, G. (2018). A new genus and species of vespertilionid bat from the Indomalayan Region. Journal of mammalogy, 99(1), 209-222."
NA,"Cheirogaleus_grovesi","recently described","de novo","McLain, A. T., Lei, R., Frasier, C. L., Tayor, J. M., Bailey, C. A., Robertson, B. A. D., Nash, S. D., Randriamanana, J. C., Mittermeier, R. A., & Louis Jr., E. E. (2017). A New Cheirogaleus (Cheirogaleidae: Cheirogaleus crossleyi Group) Species from Southeastern Madagascar. Primate Conservation, 31, 27-36."
NA,"Chimaerodipus_auritus","recently described","de novo","Shenbrot, G., Bannikova, A., Giraudoux, P., Quéré, J. P., Raoul, F., & Lebedev, V. (2017). A new recent genus and species of three-toed jerboas (Rodentia: Dipodinae) from China: A living fossil? Journal of Zoological Systematics and Evolutionary Research, 55(4), 356-368."
NA,"Cryptotis_evaristoi","recently described","de novo","Zeballos, H., Pino, K., Medina, C. E., Pari, A., Chavez, D., Tinoco, N., & Ceballos, G. (2018). A new species of small-eared shrew of the genus Cryptotis (Mammalia, Eulipotyphla, Soricidae) from the northernmost Peruvian Andes. Zootaxa, 4377(1), 51-73."
NA,"Cyclopes_rufus","recently described","de novo","Miranda, F. R., Casali, D. M., Perini, F. A., Machado, F. A., & Santos, F. R. (2017). Taxonomic review of the genus Cyclopes Gray, 1821 (Xenarthra: Pilosa), with the revalidation and description of new species. Zoological Journal of the Linnean Society, zlx079."
NA,"Cyclopes_thomasi","recently described","de novo","Miranda, F. R., Casali, D. M., Perini, F. A., Machado, F. A., & Santos, F. R. (2017). Taxonomic review of the genus Cyclopes Gray, 1821 (Xenarthra: Pilosa), with the revalidation and description of new species. Zoological Journal of the Linnean Society, zlx079."
NA,"Cyclopes_xinguensis","recently described","de novo","Miranda, F. R., Casali, D. M., Perini, F. A., Machado, F. A., & Santos, F. R. (2017). Taxonomic review of the genus Cyclopes Gray, 1821 (Xenarthra: Pilosa), with the revalidation and description of new species. Zoological Journal of the Linnean Society, zlx079."
NA,"Cynomops_freemani","recently described","de novo","Moras, L. M., Gregorin, R., Sattler, T., & Tavares, V. D. C. (2017). Uncovering the diversity of dog-faced bats from the genus Cynomops (Chiroptera: Molossidae), with the redescription of C. milleri and the description of two new species. Mammalian Biology."
NA,"Cynomops_tonkigui","recently described","de novo","Moras, L. M., Gregorin, R., Sattler, T., & Tavares, V. D. C. (2017). Uncovering the diversity of dog-faced bats from the genus Cynomops (Chiroptera: Molossidae), with the redescription of C. milleri and the description of two new species. Mammalian Biology."
NA,"Glauconycteris_atra","recently described","de novo","Hassanin, A., Colombo, R., Gembu, G. C., Merle, M., Tu, V. T., Görföl, T., ... & Ing, R. K. (2018). Multilocus phylogeny and species delimitation within the genus Glauconycteris (Chiroptera, Vespertilionidae), with the description of a new bat species from the Tshopo Province of the Democratic Republic of the Congo. Journal of Zoological Systematics and Evolutionary Research, 56(1), 1-22."
NA,"Halmaheramys_wallacei","recently described","de novo","Fabre, P. H., Reeve, A. H., Fitriana, Y. S., Aplin, K. P., & Helgen, K. M. (2018). A new species of Halmaheramys (Rodentia: Muridae) from Bisa and Obi Islands (North Maluku Province, Indonesia). Journal of Mammalogy, 99(1), 187-208."
NA,"Microcavia_jayat","recently described","de novo","Teta, P., Ojeda, R. A., Lucero, S. O., & D'Elía, G. (2017). Geographic Variation in Cranial Morphology of the Southern Mountain Cavy, Microcavia australis (Rodentia, Caviidae): Taxonomic Implications, with the Description of a New Species. Zoological Studies, 56, e29."
NA,"Molossus_fentoni","recently described","de novo","Loureiro, L. O., Lim, B. K., & Engstrom, M. D. (2018). A new species of mastiff bat (Chiroptera, Molossidae, Molossus) from Guyana and Ecuador. Mammalian Biology."
NA,"Murina_hkakaboraziensis","recently described","de novo","Soisook, P., Thaw, W. N., Kyaw, M., Oo, S. S. L., Pimsai, A., Suarez-Rubio, M., & Renner, S. C. (2017). A new species of Murina (Chiroptera: Vespertilionidae) from sub-Himalayan forests of northern Myanmar. Zootaxa, 4320(1), 159-172."
NA,"Murina_rongjiangenis","recently described","de novo","Chen, J., Liu, T., Deng, H., Xiao, N., & Zhou, J. A new species of Murina bats was discovered in Guizhou Province, China."
NA,"Ototylomys_chiapensis","recently described","de novo","Porter, C. A., Beasley, N. E., Ordóñez-Garza, N., Lindsey, L. L., Rogers, D. S., Lewis-Rogers, N., ... & Bradley, R. D. (2017). A new species of big-eared climbing rat, genus Ototylomys (Cricetidae: Tylomyinae), from Chiapas, Mexico. Journal of Mammalogy, 98(5), 1310-1329."
NA,"Philander_peba","recently described","de novo","Voss, R. S., Díaz-Nieto, J. F., & Jansa, S. A. (2018). A Revision of Philander (Marsupialia: Didelphidae), Part 1: P. quica, P. canus, and a New Species from Amazonia. American Museum Novitates, (3891), 1-70."
NA,"Pongo_tapanuliensis","recently described","de novo","Nater, A., Mattle-Greminger, M. P., Nurcahyo, A., Nowak, M. G., de Manuel, M., Desai, T., ... & Lameira, A. R. (2017). Morphometric, behavioral, and genomic evidence for a new Orangutan species. Current Biology, 27(22), 3487-3498."
NA,"Rhinolophus_indorouxii","recently described","de novo","Chattopadhyay, B., Garg, K. M., AK, V. K., Ramakrishnan, U., & Kandula, S. (2012). Sibling species in South Indian populations of the rufous horse-shoe bat Rhinolophus rouxii. Conservation Genetics, 13(6), 1435-1445."
NA,"Sicista_zhetysuica","recently described","de novo","Cserkész, T., Fülöp, A., Almerekova, S., Kondor, T., Laczkó, L., & Sramkó, G. (2019). Phylogenetic and morphological analysis of birch mice (genus Sicista, family Sminthidae, Rodentia) in the Kazak Cradle with description of a new species. Journal of Mammalian Evolution, 26(1), 147-163."
NA,"Tlacuatzin_balsasensis","recently described","de novo","Arcangeli, J., Light, J. E., & Cervantes, F. A. (2018). Molecular and morphological evidence of the diversification in the gray mouse opossum, Tlacuatzin canescens (Didelphimorphia), with description of a new species. Journal of Mammalogy."
NA,"Uromys_vika","recently described","de novo","Lavery, T. H., & Judge, H. (2017). A new species of giant rat (Muridae, Uromys) from Vangunu, Solomon Islands. Journal of Mammalogy, 98(6), 1518-1530."
"Alticola_lemminus","Aschizomys_lemminus","moved from Alticola to Aschizomys","genus change","Wilson D.E., Lacher T.E., Mittermeier R.A. 2017. Handbook of the mammals of the world. Vol. 7. Rodents II. Lynx Edicions, Barcelona."
