"MDDv1.13_Name","MDDv2.0_Name","Comment","Category","Reference"
"Neotamias_solivagus","Neotamias_solivagus","from ""Sierra del Carmen Chipmunk"" to ""Coahuila Chipmunk""","common name change","Álvarez-Castañeda, S. T., & Gónzalez-Ruiz, N. (2018). Spanish and English vernacular names of mammals of North America. Therya, 9(1), 73-84."
"Nycticebus_coucang","Nycticebus_coucang","from ""Malayasian Slow Loris"" to ""Malaysian Slow Loris""","common name spelling",NA
"Thomasomys_antoniobracki","Thomasomys_antoniobracki","from ""Antionio Brack's Oldfield Mouse"" to ""Antonio Brack's Oldfield Mouse""","common name spelling",NA
"Anoura_aequatoris","Anoura_aequatoris","from ""Ecaudorean Tailless Bat"" to ""Ecuadorean Tailless Bat""","common name spelling",NA
"Thomomys_atrovarius","Thomomys_atrovarius","from ""Black-and-Brown Pocket Gopher"" to ""Black-and-brown Pocket Gopher""","common name spelling",NA
"Melanomys_chrysomelas","Melanomys_chrysomelas","from ""Black-and-Yellow Rice Rat"" to ""Black-and-yellow Rice Rat""","common name spelling",NA
"Dermanura_bogotensis","Dermanura_bogotensis","from ""Bogota Fruit-eating Bat"" to ""Bogotá Fruit-eating Bat""","common name spelling",NA
"Neomicroxus_bogotensis","Neomicroxus_bogotensis","from ""Bogota Grass Mouse"" to ""Bogotá Grass Mouse""","common name spelling",NA
"Sylvilagus_apollinaris","Sylvilagus_apollinaris","from ""Bogota Tapeti"" to ""Bogotá Tapeti""","common name spelling",NA
"Sturnira_bogotensis","Sturnira_bogotensis","from ""Bogota Yellow-shouldered Bat"" to ""Bogotá Yellow-shouldered Bat""","common name spelling",NA
"Ctenomys_bergi","Ctenomys_bergi","from ""Cordoba Tuco-tuco"" to ""Córdoba Tuco-tuco""","common name spelling",NA
"Calomys_venustus","Calomys_venustus","from ""Cordoba Vesper Mouse"" to ""Córdoba Vesper Mouse""","common name spelling",NA
"Platyrrhinus_aquilus","Platyrrhinus_aquilus","from ""Darien Broad-nosed Bat"" to ""Darién Broad-nosed Bat""","common name spelling",NA
"Reithrodontomys_darienensis","Reithrodontomys_darienensis","from ""Darien Harvest Mouse"" to ""Darién Harvest Mouse""","common name spelling",NA
"Heterogeomys_dariensis","Heterogeomys_dariensis","from ""Darien Pocket Gopher"" to ""Darién Pocket Gopher""","common name spelling",NA
"Cryptotis_merus","Cryptotis_merus","from ""Darien Small-eared Shrew"" to ""Darién Small-eared Shrew""","common name spelling",NA
"Cryptotis_magnimanus","Cryptotis_magnimanus","from ""Honduran Broad-Clawed Shrew"" to ""Honduran Broad-clawed Shrew""","common name spelling",NA
"Habromys_ixtlani","Habromys_ixtlani","from ""Ixtlan Deermouse"" to ""Ixtlán Deermouse""","common name spelling",NA
"Sorex_ixtlanensis","Sorex_ixtlanensis","from ""Ixtlan Shrew"" to ""Ixtlán Shrew""","common name spelling",NA
"Cryptotis_medellinius","Cryptotis_medellinius","from ""Medellin Small-eared Shrew"" to ""Medellín Small-eared Shrew""","common name spelling",NA
"Sylvilagus_graysoni","Sylvilagus_graysoni","from ""Tres Marias Cottontail"" to ""Tres Marías Cottontail""","common name spelling",NA
"Peromyscus_madrensis","Peromyscus_madrensis","from ""Tres Marias Deermouse"" to ""Tres Marías Deermouse""","common name spelling",NA
"Oryzomys_nelsoni","Oryzomys_nelsoni","from ""Tres Marias Rice Rat"" to ""Tres Marías Rice Rat""","common name spelling",NA
"Mops_plicatus","Mops_plicatus","from ""Wrinkle-lipped Free-Tailed Bat"" to ""Wrinkle-lipped Free-tailed Bat""","common name spelling",NA
"Sylvilagus_yucatanicus","Sylvilagus_yucatanicus","from ""Yucatan Cottontail"" to ""Yucatán Cottontail""","common name spelling",NA
"Tlacuatzin_gaumeri","Tlacuatzin_gaumeri","from ""Yucatan Gray Mouse Opossum"" to ""Yucatán Gray Mouse Opossum""","common name spelling",NA
"Cryptotis_mayensis","Cryptotis_mayensis","from ""Yucatan Small-eared Shrew"" to ""Yucatán Small-eared Shrew""","common name spelling",NA
"Sciurus_yucatanensis","Sciurus_yucatanensis","from ""Yucatan Squirrel"" to ""Yucatán Squirrel""","common name spelling",NA
"Otonyctomys_hatti","Otonyctomys_hatti","from ""Yucatan Vesper Rat"" to ""Yucatán Vesper Rat""","common name spelling",NA
"Rhogeessa_aenea","Rhogeessa_aenea","from ""Yucatan Yellow Bat"" to ""Yucatán Yellow Bat""","common name spelling",NA
"Dremomys_ornatus","Dremomys_ornatus","from ""Chinese Red-cheecked Squirrel"" to ""Chinese Red-cheeked Squirrel""","common name spelling",NA
"Akodon_paranaensis","Akodon_paranaensis","from ""Parana Grass Mouse"" to ""Paraná Grass Mouse""","common name spelling",NA
"Presbytis_comata","Presbytis_fredericae","split from P. comata","split","Meyer, D., Rinaldi, I.D., Ramlee, H., Perwitasari-Farajallah, D., Hodges, J.K. and Roos C. 2011. Mitochondrial phylogeny of leaf monkeys (genus Presbytis, Eschscholtz, 1821) with implications for taxonomy and conservation. Mol Phylogenet Evol. 59(2): 311-9.|Nijman, V., Setiawan, A. & Ang, A. 2022. Presbytis fredericae. The IUCN Red List of Threatened Species 2022: e.T18133A210370840. https://dx.doi.org/10.2305/IUCN.UK.2022-1.RLTS.T18133A210370840.en. Accessed on 08 August 2024."
"Funambulus_obscurus","Funambulus_obscurus","from ""Sri Lanka Palm Squirrel"" to ""Dusky Striped Squirrel""","common name change","Dissanayake, R., Zijlstra, J. S., & Darwich, M. (2024). The names of the Dusky Striped Squirrel (Funambulus obscurus, Sciuridae) and Kathleen Ryley in the Bombay Natural History Society’s Mammal Survey. Mammalia, (0)."
"Funambulus_sublineatus","Funambulus_sublineatus","from ""Dusky Palm Squirrel"" to ""Pygmy Striped Squirrel""","common name change","Dissanayake, R., Zijlstra, J. S., & Darwich, M. (2024). The names of the Dusky Striped Squirrel (Funambulus obscurus, Sciuridae) and Kathleen Ryley in the Bombay Natural History Society’s Mammal Survey. Mammalia, (0)."
"Prosciurillus_rosenbergii","Prosciurillus_rosenbergii","from ""Sanghir Squirrel"" to ""Sangihe Squirrel""","common name spelling",NA
NA,"Chalinolobus_orarius","recently described","de novo","Parnaby, H.E., King, A.G., Hamilton, S. and Eldridge, M.D.B. 2024-08-06. A new species of lobe-lipped bat (_Chalinolobus_: Vespertilionidae) from southern Papua New Guinea. Zootaxa 5492(3):301-324."
"Dasypus_novemcinctus","Dasypus_fenestratus","split from D. novemcinctus","split","Barthe, M., Rancilhac, L., Arteaga, M.C., Feijó, A., Tilak, M.K., Justy, F., Loughry, W.J., McDonough, C.M., Thoisy, B. de, Catzeflis, F., Billet, G., Hautier, L., Nabholz, B. & Delsuc, F. 2024. Exon capture museomics deciphers the nine-banded armadillo species complex and identifies a new species endemic to the Guiana Shield. Systematic Biology, syae027 (In Press)."
"Dasypus_novemcinctus","Dasypus_mexicanus","split from D. novemcinctus","split","Barthe, M., Rancilhac, L., Arteaga, M.C., Feijó, A., Tilak, M.K., Justy, F., Loughry, W.J., McDonough, C.M., Thoisy, B. de, Catzeflis, F., Billet, G., Hautier, L., Nabholz, B. & Delsuc, F. 2024. Exon capture museomics deciphers the nine-banded armadillo species complex and identifies a new species endemic to the Guiana Shield. Systematic Biology, syae027 (In Press)."
