"year","valid_species_totals","available_name_totals","species_per_year","percent_species_per_year","smoothed_10_year_percent_species","lumps_per_year","percent_lumps_per_year","smoothed_10_year_percent_lumps","splits_per_year","percent_splits_per_year","smoothed_10_year_percent_splits","subspecies_per_year","percent_subspecies_per_year","smoothed_10_year_percent_subspecies"
1758,157,208,185,88.9423076923077,NA,23,11.0576923076923,NA,0,0,NA,23,11.0576923076923,NA
1759,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
1760,1,3,3,100,NA,2,66.6666666666667,NA,0,0,NA,0,0,NA
1761,2,2,2,100,NA,0,0,NA,0,0,NA,0,0,NA
1762,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
1763,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
1764,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
1765,2,2,2,100,NA,0,0,NA,0,0,NA,0,0,NA
1766,44,72,71,98.6111111111111,NA,24,33.3333333333333,NA,0,0,NA,1,1.38888888888889,NA
1767,6,8,8,100,97.9255698005698,2,25,22.676282051282,0,0,0,0,0,2.0744301994302
1768,1,3,3,100,99.7685185185185,2,66.6666666666667,31.9444444444444,0,0,0,0,0,0.231481481481481
1769,4,6,6,100,99.8015873015873,2,33.3333333333333,32.1428571428571,0,0,0,0,0,0.198412698412698
1770,6,7,6,85.7142857142857,97.7607709750567,0,0,22.6190476190476,0,0,0,1,14.2857142857143,2.23922902494331
1771,9,11,11,100,97.7607709750567,2,18.1818181818182,25.2164502164502,0,0,0,0,0,2.23922902494331
1772,0,4,4,100,98.0406746031746,4,100,34.5643939393939,0,0,0,0,0,1.9593253968254
1773,12,16,16,100,98.2583774250441,4,25,33.5016835016835,0,0,0,0,0,1.74162257495591
1774,15,22,21,95.4545454545455,97.9779942279942,3,13.6363636363636,31.5151515151515,0,0,0,1,4.54545454545455,2.02200577200577
1775,10,15,14,93.3333333333333,97.3113275613276,3,20,33.5151515151515,0,0,0,1,6.66666666666667,2.68867243867244
1776,26,66,65,98.4848484848485,97.2987012987013,37,56.0606060606061,35.7878787878788,1,1.51515151515152,0.151515151515152,1,1.51515151515152,2.7012987012987
1777,36,113,86,76.1061946902655,94.9093207677278,43,38.0530973451327,37.0931885223921,2,1.76991150442478,0.328506301957629,27,23.8938053097345,5.09067923227215
1778,7,17,17,100,94.9093207677278,10,58.8235294117647,36.3088747969019,0,0,0.328506301957629,0,0,5.09067923227215
1779,14,48,40,83.3333333333333,93.2426541010612,26,54.1666666666667,38.3922081302352,3,6.25,0.953506301957629,8,16.6666666666667,6.75734589893882
1780,24,52,52,100,94.6712255296326,24,46.1538461538462,43.0075927456198,0,0,0.953506301957629,0,0,5.32877447036739
1781,1,7,7,100,94.6712255296326,6,85.7142857142857,49.7608394988666,0,0,0.953506301957629,0,0,5.32877447036739
1782,16,36,36,100,94.6712255296326,16,44.4444444444444,44.205283943311,0,0,0.953506301957629,0,0,5.32877447036739
1783,6,8,8,100,94.6712255296326,2,25,44.205283943311,0,0,0.953506301957629,0,0,5.32877447036739
