country,total_strict,total_lenient,total_endemics
Afghanistan,124,135,1
Albania,85,93,0
Algeria,102,109,3
American Samoa,18,21,0
Andaman and Nicobar Islands,34,34,13
Angola,306,332,14
Anguilla,22,28,0
Antarctica,18,22,0
Antigua and Barbuda,29,34,0
Argentina,397,410,92
Armenia,92,98,1
Aruba,25,32,0
Ascension,2,2,0
Australia,388,389,286
Austria,88,91,0
Azerbaijan,105,112,1
Azores,12,14,1
Bahamas,37,41,2
Bahrain,17,25,0
Bangladesh,135,152,0
Barbados,27,33,1
Belarus,72,72,0
Belgium,74,82,0
Belize,149,156,0
Benin,173,203,0
Bermuda,20,29,0
Bhutan,116,142,0
Bolivia,403,418,29
Bonaire,28,33,1
Bosnia and Herzegovina,87,97,0
Botswana,167,171,0
Bouvet Island,1,1,0
Brazil,768,784,248
British Virgin Islands,23,30,0
Brunei,169,183,0
Bulgaria,97,98,1
Burkina Faso,127,140,0
Burundi,152,175,1
Cambodia,186,203,2
Cameroon,348,370,22
Canada,223,225,5
Canary Islands,19,19,2
Cape Verde,29,32,0
Cayman Islands,30,32,2
Central African Republic,247,261,2
Chad,139,151,0
Chile,157,160,21
China,671,710,156
Christmas Island,18,18,4
Cocos Islands,17,21,0
Colombia,520,533,63
Comoros,33,36,3
Cook Islands,21,23,0
Costa Rica,253,258,7
Cote d'Ivoire,261,278,2
Croatia,100,104,0
Cuba,63,66,22
Curaçao,27,32,0
Cyprus,37,41,2
Czech Republic,75,78,0
Democratic Republic of the Congo,474,508,44
Denmark,66,71,0
Djibouti,84,102,0
Domesticated,17,17,17
Dominica,35,37,0
Dominican Republic,54,59,1
East Timor,58,65,1
Ecuador,438,448,52
Egypt,102,114,2
El Salvador,154,162,0
Equatorial Guinea,171,187,3
Eritrea,108,126,0
Estonia,64,64,0
Eswatini,128,138,0
Ethiopia,305,316,54
Falkland Islands,32,33,1
Faroe,1,1,0
Fiji,26,29,1
Finland,62,64,0
France,132,139,1
French Guiana,210,219,0
French Polynesia,18,21,0
French Southern and Antarctic Lands,15,15,0
Gabon,190,202,3
Galápagos Islands,16,16,7
Gambia,117,136,0
Georgia,107,112,0
