"rank","order","family","available_names","species_count","living_species","wild_species","extinct_species","domestic_species","genera","living_genera","extinct_genera","families","living_families","extinct_families","new_since_MSW3","new_descriptions_since_MSW3","split_since_MSW3","IUCN_LC_species","IUCN_NT_species","IUCN_VU_species","IUCN_EN_species","IUCN_CR_species","IUCN_EW_species","IUCN_EX_species","IUCN_DD_species","IUCN_NE_species","IUCN_threatened_total","IUCN_understudied_total"
"family","Afrosoricida","Chrysochloridae",73,21,21,21,0,0,10,10,0,NA,NA,NA,0,0,0,6,2,4,5,1,0,0,3,0,10,3
"family","Afrosoricida","Potamogalidae",5,3,3,3,0,0,2,2,0,NA,NA,NA,0,0,0,2,0,1,0,0,0,0,0,0,1,0
"family","Afrosoricida","Tenrecidae",61,31,31,31,0,0,8,8,0,NA,NA,NA,4,3,1,24,0,4,2,0,0,0,1,0,6,1
"family","Artiodactyla","Antilocapridae",9,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Artiodactyla","Balaenidae",35,4,4,4,0,0,2,2,0,NA,NA,NA,0,0,0,2,0,0,1,1,0,0,0,0,2,0
"family","Artiodactyla","Balaenopteridae",117,11,11,11,0,0,3,3,0,NA,NA,NA,3,1,2,4,1,1,2,1,0,0,1,1,4,2
"family","Artiodactyla","Bovidae",1740,156,153,147,3,6,54,54,0,NA,NA,NA,16,1,15,59,23,25,19,6,0,2,2,20,50,22
"family","Artiodactyla","Camelidae",64,7,7,3,0,4,2,2,0,NA,NA,NA,2,0,2,2,0,0,0,1,0,0,0,4,1,4
"family","Artiodactyla","Cervidae",735,58,57,57,1,0,22,22,0,NA,NA,NA,9,1,8,16,4,15,6,2,1,1,9,4,24,13
"family","Artiodactyla","Cetotheriidae",2,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Artiodactyla","Delphinidae",273,41,41,41,0,0,19,19,0,NA,NA,NA,8,2,6,23,5,3,4,1,0,0,1,4,8,5
"family","Artiodactyla","Giraffidae",33,5,5,5,0,0,2,2,0,NA,NA,NA,3,0,3,0,0,1,1,0,0,0,0,3,2,3
"family","Artiodactyla","Hippopotamidae",26,4,2,2,2,0,2,2,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,2,0,0,2,0
"family","Artiodactyla","Iniidae",9,4,4,4,0,0,1,1,0,NA,NA,NA,3,1,2,0,0,0,1,0,0,0,0,3,1,3
"family","Artiodactyla","Kogiidae",7,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Artiodactyla","Lipotidae",1,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"family","Artiodactyla","Monodontidae",32,2,2,2,0,0,2,2,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Artiodactyla","Moschidae",21,7,7,7,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,1,6,0,0,0,0,0,7,0
"family","Artiodactyla","Phocoenidae",26,8,8,8,0,0,3,3,0,NA,NA,NA,2,0,2,3,1,1,1,1,0,0,0,1,3,1
"family","Artiodactyla","Physeteridae",26,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"family","Artiodactyla","Platanistidae",5,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,0,2,0,0,0,0,0,2,0
"family","Artiodactyla","Pontoporiidae",3,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"family","Artiodactyla","Suidae",240,18,18,17,0,1,6,6,0,NA,NA,NA,0,0,0,6,2,5,3,1,0,0,0,1,9,1
